	A 1.1.1.	A 1.1.2.	A 1.1.3.	A 1.1.4.	A 1.2.1.	A 1.2.2.	A 2.1.1.	A 2.1.2.	A 2.1.3.	A 2.1.4.	A 2.2.1.	A 2.2.2.
F 1.1.1.						Corto Plazo	Corto Plazo	Corto Plazo				
F 1.1.2.	Corto Plazo											
F 1.1.3.					Corto Plazo							
F 1.1.4.	Corto Plazo											
F 1.2.1.					Corto Plazo							
F 1.2.2.		Corto Plazo		Corto Plazo								
F 2.1.1.									Corto Plazo			
F 2.1.2.										Corto Plazo		
F 2.1.3.											Corto Plazo	
F 2.1.4.												Corto Plazo
F 2.2.1.			Corto Plazo				Corto Plazo					
F 2.2.2.		Corto Plazo										
